,Date,Open,High,Low,Close,Adj Close,Volume,RSI,SMA
4214,2019-02-20,364.850006,366.709991,356.700012,359.910004,359.910004,8110700,61.94118999492386,353.971002
4215,2019-02-21,360.029999,362.850006,353.880005,356.970001,356.970001,6227900,59.79218551433102,354.4490019
4216,2019-02-22,360.339996,366.130005,360.049988,363.019989,363.019989,7088200,62.66289865930217,356.2800017
4217,2019-02-25,367.01001,371.48999,363.790009,363.910004,363.910004,7569300,63.08050071616712,357.9140014
4218,2019-02-26,362.980011,365.700012,359.329987,364.970001,364.970001,4944600,63.60263708301076,359.8380004
4219,2019-02-27,363.5,368.029999,359.799988,362.869995,362.869995,5629900,61.739720609023244,360.1279998
4220,2019-02-28,362.470001,366.390015,357.709991,358.100006,358.100006,6186800,57.6119783227065,360.7610015
4221,2019-03-01,362.26001,362.869995,354.690002,357.320007,357.320007,5526500,56.9415710578506,360.5860015
4222,2019-03-04,359.720001,362.25,348.040009,351.040009,351.040009,7487000,51.72291080907274,360.0030029
4223,2019-03-05,351.459991,356.170013,348.25,354.299988,354.299988,5937800,54.07584990772703,359.24100039999996
4224,2019-03-06,353.600006,359.880005,351.700012,359.609985,359.609985,6211900,57.69284245458682,359.2109985
4225,2019-03-07,360.160004,362.859985,350.5,352.600006,352.600006,6151300,51.88330875409309,358.773999
4226,2019-03-08,345.75,349.920013,342.470001,349.600006,349.600006,6898800,49.5822141367938,357.4320007
4227,2019-03-11,352.0,358.980011,350.029999,358.859985,358.859985,5387300,56.06017819055711,356.9269988
4228,2019-03-12,359.369995,360.130005,353.799988,356.269989,356.269989,5164600,53.97140046881328,356.05699760000005
4229,2019-03-13,355.809998,362.480011,352.769989,361.209991,361.209991,6444100,57.24368273477753,355.8909972
4230,2019-03-14,360.5,363.839996,358.100006,358.820007,358.820007,5271400,55.1990870288063,355.9629973
4231,2019-03-15,361.019989,364.0,358.890015,361.459991,361.459991,8444500,57.025026918082844,356.37699569999995
4232,2019-03-18,362.470001,370.970001,361.859985,363.440002,363.440002,7194700,58.39464608253384,357.616995
4233,2019-03-19,366.399994,366.959991,356.799988,358.779999,358.779999,7541400,54.03024714231066,358.06499610000003
4234,2019-03-20,358.910004,375.899994,357.01001,375.220001,375.220001,10917200,64.1967979164598,359.6259977
4235,2019-03-21,374.0,379.0,370.609985,377.869995,377.869995,8544000,65.52049964747708,362.1529966
4236,2019-03-22,375.950012,376.429993,360.040009,361.01001,361.01001,8661300,52.277653597535966,363.293997
4237,2019-03-25,359.0,367.040009,357.440002,366.230011,366.230011,8473800,55.29066272805144,364.0309996
4238,2019-03-26,367.869995,368.380005,358.019989,359.970001,359.970001,7666500,51.12218761579861,364.4010008
4239,2019-03-27,361.0,362.470001,350.369995,353.369995,353.369995,7852400,47.091134185440076,363.61700120000006
4240,2019-03-28,354.48999,355.940002,349.200012,354.609985,354.609985,4361000,47.9219831789965,363.195999
